ProductID,ProductName,Brand,Category,SubCategory,Price,DiscountPct,Rating,ReviewCount,SkinType,StockQuantity,UnitsSold,Revenue,Region,SalesChannel,CrueltyFree,OrderDate
BP0001,PureEarth Hair Mask,PureEarth,Haircare,Hair Mask,22.73,0,4.7,43,Combination,487,166,3773.18,Middle East,Online,Yes,2025-03-04
BP0002,SilkStrand Hand Cream,SilkStrand,Bath & Body,Hand Cream,20.92,0,4.5,76,Dry,277,35,732.2,Latin America,In-Store,No,2025-03-27
BP0003,NuraBeauty Body Scrub,NuraBeauty,Bath & Body,Body Scrub,12.75,0,4.2,226,Combination,21,20,255.0,Middle East,In-Store,No,2025-01-07
BP0004,PureEarth Liquid Lipstick,PureEarth,Makeup,Liquid Lipstick,27.9,0,4.3,160,Oily,113,32,892.8,Latin America,In-Store,No,2024-08-26
BP0005,NuraBeauty Body Mist,NuraBeauty,Fragrance,Body Mist,57.25,10,4.4,160,Sensitive,69,36,2061.0,Latin America,In-Store,No,2024-01-05
BP0006,PureEarth Conditioner,PureEarth,Haircare,Conditioner,13.98,5,4.2,64,Combination,334,163,2278.74,Latin America,In-Store,Yes,2024-11-04
BP0007,LashPro Concealer,LashPro,Makeup,Concealer,17.56,0,4.1,310,Oily,204,241,4231.96,North America,Online,Yes,2024-05-07
BP0008,BloomBeauty Hair Serum,BloomBeauty,Haircare,Hair Serum,19.0,0,4.6,144,Combination,407,15,285.0,Europe,Online,No,2024-01-13
BP0009,BloomBeauty Eye Cream,BloomBeauty,Skincare,Eye Cream,32.71,0,4.5,645,Dry,190,20,654.2,Middle East,Online,Yes,2024-12-09
BP0010,AuraCare Body Scrub,AuraCare,Bath & Body,Body Scrub,10.25,25,4.1,558,Oily,389,86,881.5,Middle East,Online,Yes,2024-09-01
BP0011,SunKissed Eyeshadow Palette,SunKissed,Makeup,Eyeshadow Palette,23.04,5,4.4,206,Combination,428,256,5898.24,Asia Pacific,Online,Yes,2025-01-27
BP0012,GlowLab Eyeshadow Palette,GlowLab,Makeup,Eyeshadow Palette,21.25,25,4.4,457,Dry,164,33,701.25,Middle East,In-Store,Yes,2024-02-26
BP0013,LashPro Highlighter Palette,LashPro,Makeup,Highlighter Palette,24.45,25,4.2,2715,Combination,241,165,4034.25,North America,Online,Yes,2024-02-15
BP0014,PureEarth Highlighter Palette,PureEarth,Makeup,Highlighter Palette,21.87,5,4.0,236,All,219,1,21.87,Europe,Marketplace,Yes,2025-03-26
BP0015,SilkStrand Sunscreen Lotion,SilkStrand,Skincare,Sunscreen Lotion,27.47,0,5.0,63,Oily,53,158,4340.26,Latin America,Online,Yes,2024-05-05
BP0016,NuraBeauty Body Mist,NuraBeauty,Fragrance,Body Mist,37.62,0,4.7,152,Sensitive,257,63,2370.06,Latin America,Online,Yes,2025-05-25
BP0017,NuraBeauty Body Lotion,NuraBeauty,Bath & Body,Body Lotion,23.29,0,4.4,593,Dry,259,128,2981.12,North America,In-Store,Yes,2025-02-24
BP0018,SunKissed Shampoo,SunKissed,Haircare,Shampoo,10.29,0,3.8,70,Dry,415,67,689.43,Middle East,In-Store,No,2024-04-07
BP0019,VelvetSkin Eye Cream,VelvetSkin,Skincare,Eye Cream,24.13,0,4.3,98,All,6,50,1206.5,Europe,In-Store,Yes,2024-03-12
BP0020,BloomBeauty Hair Mask,BloomBeauty,Haircare,Hair Mask,12.47,0,4.2,381,Dry,369,41,511.27,Asia Pacific,Marketplace,Yes,2024-03-08
BP0021,SilkStrand Highlighter Palette,SilkStrand,Makeup,Highlighter Palette,29.36,0,4.2,699,Combination,12,177,5196.72,North America,Online,Yes,2024-12-11
BP0022,BloomBeauty Body Lotion,BloomBeauty,Bath & Body,Body Lotion,10.52,0,4.2,199,Sensitive,392,6,63.12,Middle East,In-Store,No,2024-02-29
BP0023,SilkStrand Concealer,SilkStrand,Makeup,Concealer,16.29,15,3.9,688,All,433,318,5180.22,Asia Pacific,Online,No,2024-05-15
BP0024,GlowLab Eye Cream,GlowLab,Skincare,Eye Cream,24.39,0,4.4,235,Oily,155,11,268.29,Latin America,Online,Yes,2025-05-16
BP0025,GlowLab Toner,GlowLab,Skincare,Toner,25.39,20,4.4,110,Combination,295,40,1015.6,Latin America,Online,Yes,2024-08-02
BP0026,GlowLab Body Mist,GlowLab,Fragrance,Body Mist,53.13,15,5.0,163,All,208,0,0.0,North America,Online,Yes,2024-07-22
BP0027,AuraCare Face Mask,AuraCare,Skincare,Face Mask,10.9,0,4.7,545,Oily,489,381,4152.9,Asia Pacific,In-Store,No,2025-02-28
BP0028,BloomBeauty Foundation,BloomBeauty,Makeup,Foundation,30.3,0,3.3,178,Sensitive,319,105,3181.5,North America,Online,Yes,2024-03-17
BP0029,LashPro Highlighter Palette,LashPro,Makeup,Highlighter Palette,17.7,0,4.3,299,Oily,148,138,2442.6,Middle East,Online,Yes,2025-05-14
BP0030,SilkStrand Body Mist,SilkStrand,Fragrance,Body Mist,70.94,0,4.2,73,Dry,144,149,10570.06,North America,In-Store,No,2024-04-20
BP0031,GlowLab Eyeshadow Palette,GlowLab,Makeup,Eyeshadow Palette,32.74,15,4.6,775,Sensitive,68,541,17712.34,North America,In-Store,No,2025-03-12
BP0032,SunKissed Body Lotion,SunKissed,Bath & Body,Body Lotion,8.61,15,4.0,2679,Dry,85,34,292.74,North America,Online,Yes,2024-11-07
BP0033,PureEarth Conditioner,PureEarth,Haircare,Conditioner,5.0,10,4.1,57,Sensitive,58,34,170.0,Asia Pacific,Online,No,2024-12-24
BP0034,NuraBeauty Cleanser,NuraBeauty,Skincare,Cleanser,30.3,0,4.4,246,Combination,157,21,636.3,Latin America,Marketplace,Yes,2024-03-21
BP0035,BloomBeauty Hair Serum,BloomBeauty,Haircare,Hair Serum,12.82,20,4.4,243,Dry,188,130,1666.6,North America,Marketplace,Yes,2025-01-26
BP0036,Rougeon Liquid Lipstick,Rougeon,Makeup,Liquid Lipstick,31.23,0,4.1,6,Dry,227,158,4934.34,Asia Pacific,Online,Yes,2024-06-09
BP0037,VelvetSkin Shower Gel,VelvetSkin,Bath & Body,Shower Gel,7.58,10,3.4,497,Sensitive,141,169,1281.02,North America,Marketplace,No,2024-02-27
BP0038,NuraBeauty Sunscreen Lotion,NuraBeauty,Skincare,Sunscreen Lotion,33.19,0,4.0,292,All,388,22,730.18,North America,In-Store,Yes,2025-05-11
BP0039,SilkStrand Cleanser,SilkStrand,Skincare,Cleanser,15.29,15,3.7,698,Oily,28,185,2828.65,Latin America,In-Store,No,2025-05-20
BP0040,SunKissed Toner,SunKissed,Skincare,Toner,41.27,30,4.3,584,Combination,77,128,5282.56,North America,Online,No,2024-04-15
BP0041,GlowLab Highlighter Palette,GlowLab,Makeup,Highlighter Palette,12.72,0,4.5,2136,Combination,354,41,521.52,Europe,Online,No,2024-02-19
BP0042,SilkStrand Shampoo,SilkStrand,Haircare,Shampoo,20.07,0,4.4,1618,Combination,150,405,8128.35,Asia Pacific,In-Store,No,2025-01-16
BP0043,PureEarth Eyeshadow Palette,PureEarth,Makeup,Eyeshadow Palette,33.66,0,5.0,12,All,139,42,1413.72,Middle East,In-Store,Yes,2024-08-21
BP0044,SunKissed Concealer,SunKissed,Makeup,Concealer,5.49,10,3.9,26,Oily,209,30,164.7,North America,In-Store,Yes,2024-05-02
BP0045,SilkStrand Eyeshadow Palette,SilkStrand,Makeup,Eyeshadow Palette,24.33,20,4.2,156,Dry,215,71,1727.43,Asia Pacific,Online,No,2024-07-15
BP0046,BloomBeauty Hand Cream,BloomBeauty,Bath & Body,Hand Cream,14.11,0,4.0,270,Combination,418,75,1058.25,North America,Online,No,2024-03-04
BP0047,LashPro Toner,LashPro,Skincare,Toner,24.98,5,4.7,312,All,7,262,6544.76,Middle East,Online,Yes,2025-04-11
BP0048,LashPro Toner,LashPro,Skincare,Toner,22.67,0,5.0,1334,Combination,155,228,5168.76,North America,Online,Yes,2025-01-19
BP0049,BloomBeauty Cleanser,BloomBeauty,Skincare,Cleanser,34.55,0,4.0,128,All,494,166,5735.3,Europe,Marketplace,Yes,2025-04-02
BP0050,GlowLab Foundation,GlowLab,Makeup,Foundation,20.92,0,4.4,778,All,75,116,2426.72,Europe,Online,Yes,2025-05-09
BP0051,BloomBeauty Blush,BloomBeauty,Makeup,Blush,4.99,0,4.0,298,All,421,95,474.05,Asia Pacific,In-Store,No,2024-12-19
BP0052,BloomBeauty Concealer,BloomBeauty,Makeup,Concealer,24.64,20,4.5,659,Combination,384,125,3080.0,Europe,Marketplace,Yes,2024-10-02
BP0053,PureEarth Sunscreen Lotion,PureEarth,Skincare,Sunscreen Lotion,22.97,0,3.9,420,All,458,16,367.52,Europe,Online,Yes,2024-04-06
BP0054,PureEarth Shower Gel,PureEarth,Bath & Body,Shower Gel,15.99,0,3.7,14,Combination,139,195,3118.05,Asia Pacific,Marketplace,Yes,2024-12-11
BP0055,AuraCare Hair Mask,AuraCare,Haircare,Hair Mask,4.99,10,3.8,269,Combination,433,12,59.88,Asia Pacific,Online,Yes,2025-02-03
BP0056,AuraCare Body Lotion,AuraCare,Bath & Body,Body Lotion,16.31,30,5.0,444,Sensitive,173,67,1092.77,Europe,In-Store,Yes,2024-01-23
BP0057,AuraCare Foundation,AuraCare,Makeup,Foundation,23.61,0,4.1,49,Oily,277,138,3258.18,Europe,In-Store,Yes,2025-05-18
BP0058,Rougeon Face Mask,Rougeon,Skincare,Face Mask,30.31,5,3.7,787,Dry,432,62,1879.22,Europe,Online,Yes,2025-03-12
BP0059,GlowLab Body Mist,GlowLab,Fragrance,Body Mist,60.18,0,4.1,48,Sensitive,200,168,10110.24,Middle East,Online,No,2025-01-01
BP0060,SunKissed Cologne,SunKissed,Fragrance,Cologne,17.72,15,4.2,321,Combination,443,125,2215.0,Middle East,Online,No,2024-02-16
BP0061,SunKissed Shower Gel,SunKissed,Bath & Body,Shower Gel,13.23,0,4.2,811,Dry,498,211,2791.53,Middle East,Online,No,2024-11-20
BP0062,LashPro Facial Serum,LashPro,Skincare,Facial Serum,17.18,15,4.5,29,Oily,226,258,4432.44,Latin America,Online,No,2024-07-06
BP0063,SunKissed Blush,SunKissed,Makeup,Blush,19.43,0,3.6,427,All,454,161,3128.23,Latin America,In-Store,No,2025-02-08
BP0064,LashPro Face Mask,LashPro,Skincare,Face Mask,31.42,10,5.0,46,Oily,395,53,1665.26,Middle East,Online,No,2024-08-26
BP0065,AuraCare Cologne,AuraCare,Fragrance,Cologne,46.62,0,4.1,318,Oily,50,193,8997.66,Europe,Online,Yes,2025-06-04
BP0066,Rougeon Shower Gel,Rougeon,Bath & Body,Shower Gel,10.89,0,3.4,27,All,227,47,511.83,Middle East,Online,Yes,2024-06-19
BP0067,SilkStrand Eye Cream,SilkStrand,Skincare,Eye Cream,19.08,0,4.5,286,Oily,208,0,0.0,Europe,Marketplace,Yes,2024-03-02
BP0068,LashPro Liquid Lipstick,LashPro,Makeup,Liquid Lipstick,24.8,0,4.2,312,Combination,130,15,372.0,Asia Pacific,Online,No,2024-05-12
BP0069,AuraCare Moisturizer,AuraCare,Skincare,Moisturizer,16.83,0,3.9,345,Dry,75,8,134.64,Europe,Marketplace,Yes,2024-03-16
BP0070,Rougeon Moisturizer,Rougeon,Skincare,Moisturizer,5.98,0,4.7,954,Oily,295,598,3576.04,Asia Pacific,Marketplace,Yes,2024-01-03
BP0071,NuraBeauty Hair Oil,NuraBeauty,Haircare,Hair Oil,18.07,5,4.2,1036,All,301,56,1011.92,Middle East,Online,No,2025-03-19
BP0072,PureEarth Toner,PureEarth,Skincare,Toner,35.25,10,4.6,5,Sensitive,173,0,0.0,Middle East,In-Store,No,2024-03-31
BP0073,NuraBeauty Facial Serum,NuraBeauty,Skincare,Facial Serum,41.24,0,4.3,131,Sensitive,346,17,701.08,Middle East,Marketplace,Yes,2024-10-03
BP0074,BloomBeauty Shower Gel,BloomBeauty,Bath & Body,Shower Gel,15.06,0,4.4,768,Combination,268,49,737.94,North America,Online,Yes,2024-05-28
BP0075,NuraBeauty Hair Oil,NuraBeauty,Haircare,Hair Oil,17.23,10,4.7,33,All,436,8,137.84,Middle East,In-Store,Yes,2024-11-28
BP0076,BloomBeauty Hair Mask,BloomBeauty,Haircare,Hair Mask,17.17,0,3.8,801,All,257,0,0.0,North America,Online,Yes,2025-03-09
BP0077,LashPro Body Mist,LashPro,Fragrance,Body Mist,59.7,0,4.4,721,Oily,89,7,417.9,Latin America,Marketplace,Yes,2025-04-13
BP0078,NuraBeauty Hair Mask,NuraBeauty,Haircare,Hair Mask,18.19,20,4.3,1092,Sensitive,365,173,3146.87,Latin America,Online,No,2024-11-06
BP0079,GlowLab Conditioner,GlowLab,Haircare,Conditioner,26.99,0,5.0,28,Oily,489,19,512.81,Latin America,Marketplace,Yes,2025-01-27
BP0080,BloomBeauty Highlighter Palette,BloomBeauty,Makeup,Highlighter Palette,15.05,0,4.7,1746,Combination,233,24,361.2,Europe,Online,Yes,2024-07-24
BP0081,LashPro Hair Serum,LashPro,Haircare,Hair Serum,22.2,0,3.9,122,Combination,376,200,4440.0,Europe,Online,Yes,2024-05-31
BP0082,SunKissed Highlighter Palette,SunKissed,Makeup,Highlighter Palette,21.95,15,3.9,844,Oily,326,48,1053.6,Latin America,Online,Yes,2024-03-01
BP0083,AuraCare Cologne,AuraCare,Fragrance,Cologne,73.24,15,3.9,396,Combination,35,13,952.12,Latin America,In-Store,Yes,2024-06-14
BP0084,BloomBeauty Foundation,BloomBeauty,Makeup,Foundation,17.14,0,4.3,111,Dry,425,44,754.16,Asia Pacific,Online,Yes,2025-02-04
BP0085,VelvetSkin Hair Serum,VelvetSkin,Haircare,Hair Serum,28.01,0,4.1,202,Oily,448,15,420.15,Europe,In-Store,Yes,2024-05-24
BP0086,SunKissed Mascara,SunKissed,Makeup,Mascara,26.91,25,4.8,1322,Sensitive,169,74,1991.34,Middle East,Online,Yes,2024-05-15
BP0087,VelvetSkin Eau de Parfum,VelvetSkin,Fragrance,Eau de Parfum,51.8,0,5.0,163,Oily,268,105,5439.0,Europe,Online,No,2024-03-12
BP0088,Rougeon Body Lotion,Rougeon,Bath & Body,Body Lotion,18.1,0,3.8,209,All,15,38,687.8,North America,Online,Yes,2025-05-14
BP0089,BloomBeauty Highlighter Palette,BloomBeauty,Makeup,Highlighter Palette,22.35,0,3.1,397,All,370,143,3196.05,Latin America,Marketplace,Yes,2024-03-24
BP0090,VelvetSkin Facial Serum,VelvetSkin,Skincare,Facial Serum,49.98,30,4.3,708,All,105,180,8996.4,Asia Pacific,In-Store,Yes,2024-08-26
